date,type,title,sponsor,committees,latest_action,tracker,url
08/10/2021,RESOLUTION,"Impeaching Alejandro Nicholas Mayorkas, Secretary of Homeland Security, for high crimes and misdemeanors.","Rep. Biggs, Andy [R-AZ-5]", House - Judiciary        ,House - 08/10/2021 Referred to the House Committee on the Judiciary. (,Introduced,https://www.congress.gov/bill/117th-congress/house-resolution/582?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=23
08/10/2021,RESOLUTION,Amending the Rules of the House of Representatives to establish a Permanent Select Committee on Aging.,"Rep. Cicilline, David N. [D-RI-1]", House - Rules        ,House - 08/10/2021 Referred to the House Committee on Rules. (,Introduced,https://www.congress.gov/bill/117th-congress/house-resolution/583?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=24
08/10/2021,RESOLUTION,Highlighting the importance of Title 42 Public Health Authorities.,"Rep. Lesko, Debbie [R-AZ-8]", House - Energy and Commerce        ,House - 08/10/2021 Referred to the House Committee on Energy and Commerce. (,Introduced,https://www.congress.gov/bill/117th-congress/house-resolution/584?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=25
08/10/2021,RESOLUTION,Condemning the atrocities and crimes against humanity being perpetrated against religious and ethnic minority women in the Xinjiang Uyghur Autonomous Region by the Government of the People's Republic of China.,"Rep. Speier, Jackie [D-CA-14]", House - Foreign Affairs        ,House - 08/10/2021 Referred to the House Committee on Foreign Affairs. (,Introduced,https://www.congress.gov/bill/117th-congress/house-resolution/585?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=26
08/10/2021,BILL,Dr. Lorna Breen Health Care Provider Protection Act,"Sen. Kaine, Tim [D-VA]"," Senate - Health, Education, Labor, and Pensions        ",House - 08/10/2021 Held at the desk. (,Passed Senate,https://www.congress.gov/bill/117th-congress/senate-bill/610?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=27
08/10/2021,BILL,"To direct the Secretary of State to develop a strategy to regain observer status for Taiwan in the World Health Organization, and for other purposes.","Sen. Menendez, Robert [D-NJ]", Senate - Foreign Relations        ,House - 08/10/2021 Held at the desk. (,Passed Senate,https://www.congress.gov/bill/117th-congress/senate-bill/812?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=28
08/10/2021,BILL,"A bill to require the Comptroller General of the United States to conduct a study on disparities associated with race and ethnicity with respect to certain benefits administered by the Secretary of Veterans Affairs, and for other purposes.","Sen. Warnock, Raphael G. [D-GA]", Senate - Veterans' Affairs        ,House - 08/10/2021 Held at the desk. (,Passed Senate,https://www.congress.gov/bill/117th-congress/senate-bill/1031?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=29
08/10/2021,BILL,RENACER Act,"Sen. Menendez, Robert [D-NJ]", Senate - Foreign Relations        ,House - 08/10/2021 Held at the desk. (,Passed Senate,https://www.congress.gov/bill/117th-congress/senate-bill/1041?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=30
08/10/2021,BILL,K-12 Cybersecurity Act of 2021,"Sen. Peters, Gary C. [D-MI]", Senate - Homeland Security and Governmental Affairs        ,House - 08/13/2021 Held at the desk. (,Passed Senate,https://www.congress.gov/bill/117th-congress/senate-bill/1917?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=31
08/10/2021,BILL,Intelligence Authorization Act for Fiscal Year 2022,"Sen. Warner, Mark [D-VA]", Senate - Intelligence (Select)        ,Senate - 08/10/2021 By Senator Warner from Select Committee on Intelligence filed written report. Report No. 117-37. Additional views filed. (,Introduced,https://www.congress.gov/bill/117th-congress/senate-bill/2610?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=32
