category,date,title,url
Markups,"Thu, 03/13/2014 - 9:00am",Subcommittee on Research and Technology Markup - H.R. 4186,https://republicans-science.house.gov/legislation/markups/subcommittee-research-and-technology-markup-hr-4186
Markups,"Fri, 02/28/2014 - 10:00am",Full Committee Markup - H.R. 1786,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-1786
Markups,"Wed, 12/11/2013 - 2:30pm","Full Committee Markup - H.R. 2413, H.R. 2431, H.R. 2981, H.R. 3625",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2413-hr-2431-hr-2981-hr-3625
Markups,"Thu, 08/01/2013 - 10:00am",Full Committee Business Meeting ,https://republicans-science.house.gov/legislation/markups/full-committee-business-meeting
Markups,"Thu, 07/18/2013 - 11:15am","Full Committee Markup - H.R. 2687, the National Aeronautics and Space Administration Authorization Act of 2013",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2687-national-aeronautics-and-space-administration
Markups,"Wed, 07/10/2013 - 10:00am","Subcommittee on Space Markup of Committee Print, NASA Authorization Act of 2013",https://republicans-science.house.gov/legislation/markups/subcommittee-space-markup-committee-print-nasa-authorization-act-2013
Markups,"Tue, 07/09/2013 - 10:00am","Subcommittee on Environment Markup of H.R. 2413, Weather Forecasting Improvement Act of 2013",https://republicans-science.house.gov/legislation/markups/subcommittee-environment-markup-hr-2413-weather-forecasting-improvement-act-2013
Markups,"Fri, 06/28/2013 - 9:00am",Subcommittee on Research and Technology Markup - H.R. 1786,https://republicans-science.house.gov/legislation/markups/subcommittee-research-and-technology-markup-hr-1786
Markups,"Thu, 04/11/2013 - 10:00am","Full Committee Markup - H.R. 875, H.R. 1422",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-875-hr-1422
Markups,"Thu, 03/14/2013 - 10:00am","Full Committee Markup - H.R. 756, H.R. 967",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-756-hr-967
Markups,"Thu, 08/02/2012 - 9:30am","**POSTPONED** Full Committee Markup - H.R. 4158, H.R. 6229",https://republicans-science.house.gov/legislation/markups/postponed-full-committee-markup-hr-4158-hr-6229
Markups,"Tue, 02/07/2012 - 10:00am","Full Committee Markup - H.R. 3834, H.R. 3199",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-3834-hr-3199
Markups,"Thu, 12/01/2011 - 10:00am","Full Committee Markup: H.R. 3479, Natural Hazards Risk Reduction Act of 2011",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-3479-natural-hazards-risk-reduction-act-2011
Markups,"Tue, 11/15/2011 - 1:00pm",Technology and Innovation Subcommittee - Natural Hazards Risk Reduction Markup,https://republicans-science.house.gov/legislation/markups/technology-and-innovation-subcommittee-natural-hazards-risk-reduction-markup
Markups,"Thu, 07/28/2011 - 10:30am",Full Committee Markup- H.R. 2484 Harmful Algal Blooms,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2484-harmful-algal-blooms
Markups,"Thu, 07/21/2011 - 10:00am",Full Committee Markup - Cybersecurity,https://republicans-science.house.gov/legislation/markups/full-committee-markup-cybersecurity
Markups,"Thu, 07/14/2011 - 2:00pm",Energy and Environment Subcommittee – Markup ,https://republicans-science.house.gov/legislation/markups/energy-and-environment-subcommittee-markup
Markups,"Wed, 07/13/2011 - 10:30am",Technology and Innovation Subcommittee – Markup ,https://republicans-science.house.gov/legislation/markups/technology-and-innovation-subcommittee-markup
Markups,"Wed, 06/22/2011 - 12:52pm",Energy and Environment Subcommittee - Markup **POSTPONED**,https://republicans-science.house.gov/legislation/markups/energy-and-environment-subcommittee-markup-postponed
Hearings,"Thu, 07/29/2021 - 10:00am",Space and Aeronautics Subcommittee Hearing - Enabling Mission Success from the Ground Up: Addressing NASA’s Urgent Infrastructure Needs,https://republicans-science.house.gov/legislation/hearings/space-and-aeronautics-subcommittee-hearing-enabling-mission-success-ground
Markups,"Wed, 05/04/2011 - 10:00am",Full Committee Markup of H.R. 1425 Creating Jobs Through Small Business Innovation Act of 2011,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-1425-creating-jobs-through-small-business-innovation
Markups,"Wed, 04/13/2011 - 2:00pm",Subcommittee on Technology and Innovation Markup,https://republicans-science.house.gov/legislation/markups/subcommittee-technology-and-innovation-markup
Markups,"Thu, 03/17/2011 - 10:16am",Full Committee Markup,https://republicans-science.house.gov/legislation/markups/full-committee-markup
Markups,"Thu, 09/23/2010 - 2:00pm","Full Committee Markup - H.R.5866 The Nuclear Energy Research and Development Act of 2010; H.R. 6160, the Rare Earths and Critical Materials Revitalization Act of 2010",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr5866-nuclear-energy-research-and-development-act-2010-hr
Markups,"Wed, 07/28/2010 - 10:00am",Subcommittee on Energy and Environment Markup - Nuclear Energy Research and Development Act of 2010,https://republicans-science.house.gov/legislation/markups/subcommittee-energy-and-environment-markup-nuclear-energy-research-and
Markups,"Thu, 07/22/2010 - 10:00am",Full Committee Markup - NASA Authorization Act of 2010,https://republicans-science.house.gov/legislation/markups/full-committee-markup-nasa-authorization-act-2010
Markups,"Wed, 07/14/2010 - 10:30am","Full Committee – Markup of H. R. 2693, the Oil Pollution Research and Development Program Reauthorization Act of 2010; and H. R. 5716, the Safer Oil and Natural Gas Drilling Technology Research and Development Act",https://republicans-science.house.gov/legislation/markups/full-committee-markup-h-r-2693-oil-pollution-research-and-development-program
Markups,"Wed, 04/28/2010 - 10:00am","Full Committee Markup - H.R.5116, America COMPETES Reauthorization Act of 2010",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr5116-america-competes-reauthorization-act-2010
Markups,"Wed, 04/21/2010 - 10:00am",Subcommittee on Technology and Innovation Markup - National Institute of Standards and Technology Autorization Act of 2010 Committee Print,https://republicans-science.house.gov/legislation/markups/subcommittee-technology-and-innovation-markup-national-institute-standards-and
Markups,"Wed, 04/14/2010 - 10:00am",Subcommittee on Research and Science Education Markup,https://republicans-science.house.gov/legislation/markups/subcommittee-research-and-science-education-markup
Markups,"Thu, 03/25/2010 - 10:00am",Subcommittee on Energy and Environment Markup - America COMPETES Energy Title,https://republicans-science.house.gov/legislation/markups/subcommittee-energy-and-environment-markup-america-competes-energy-title
